area,total_Person,Single_Person,Two_Person,Three_Person,Four_Person,Five_Person,Six_Person,couples_without_a_child,couples_with_a_child,single_parents,people_sharing_an_apartment
      Argenschwang,134,27,40,25,29,10,3,40,61,6,0
      Bockenau,528,146,159,98,71,39,15,156,199,27,0
      Boos,167,45,51,30,28,13,0,57,52,13,0
      Braunweiler,256,56,91,46,41,19,3,75,94,28,3
      Burgsponheim,105,21,26,31,24,3,0,20,52,12,0
      Dalberg,89,22,33,16,12,6,0,34,27,6,0
      Gebroth,55,9,23,15,0,4,4,23,20,3,0
      Gutenberg,411,91,144,83,75,12,6,122,154,41,3
      Hargesheim,1237,316,439,249,162,41,30,358,411,125,27
      Hergenfeld,183,22,66,34,49,3,9,47,85,22,7
      Hüffelsheim,512,106,145,118,109,34,0,125,219,55,7
      Mandel,346,79,90,87,54,20,16,86,146,32,3
      Münchwald,125,13,56,30,19,4,3,50,50,12,0
      Oberstreit,109,8,42,31,18,10,0,40,49,12,0
      Roxheim,990,237,321,194,183,35,20,270,374,100,9
      Rüdesheim,1064,300,355,194,146,44,25,310,356,83,15
      Sankt Katharinen,154,35,55,43,18,0,3,43,61,12,3
      Schloßböckelheim,165,38,68,37,13,9,0,60,52,12,3
      Sommerloch,167,27,47,38,34,15,6,41,87,9,3
      Spabrücken,449,101,146,82,81,27,12,125,182,41,0
      Spall,63,8,20,19,0,3,13,20,29,6,0
      Sponheim,311,69,97,45,64,18,18,88,132,16,6
      Waldböckelheim,953,255,309,161,142,58,28,269,348,78,3
      Wallhausen,662,180,212,102,112,35,21,164,248,64,6
      Weinsheim,779,189,270,141,126,38,15,204,280,85,21
